"","Survived","Pclass","Sex","Fare","Embarked","spouse","siblings","children","parents","Age2"
"303","0","3","male",7.775,"S","0","1","0","0","Teenager"
"304","1","1","female",227.525,"C","0","1","0","0","Fit Adult"
"305","1","3","female",15.7417,"C","0","1","0","2","Young Child"
"306","0","3","male",7.925,"S","0","1","0","0","Fit Adult"
"307","1","1","female",52,"S","1","1","0","0","Fit Adult"
"308","0","2","male",73.5,"S","0","1","0","0","Child"
"309","0","3","male",46.9,"S","0","6","0","2","Young Child"
"310","1","2","female",13,"S","0","1","0","0","Fit Adult"
"311","1","2","female",12,"C","0","1","0","0","Child"
"312","1","1","male",120,"S","1","1","2","0","Fit Adult"
"313","1","3","male",7.7958,"S","0","1","0","0","Teenager"
"314","0","3","male",7.925,"S","0","3","0","0","Teenager"
"315","1","1","female",113.275,"C","1","1","0","0","Teenager"
"316","1","3","female",16.7,"S","0","1","2","0","Teenager"
"317","0","3","male",7.7958,"S","0","1","0","0","Teenager"
"318","0","3","female",7.8542,"S","0","1","0","0","Fit Adult"
"319","0","2","male",26,"S","0","1","0","0","Fit Adult"
"320","0","2","male",10.5,"S","0","1","0","0","Teenager"
"321","1","2","female",12.65,"S","0","1","0","0","Teenager"
"322","1","3","male",7.925,"S","0","1","0","0","Fit Adult"
"323","0","3","male",8.05,"S","0","1","0","0","Teenager"
"324","0","3","female",9.825,"S","1","1","0","0","Teenager"
"325","0","3","male",15.85,"S","1","1","0","0","Teenager"
"326","0","3","female",8.6625,"S","0","1","0","0","Teenager"
"327","0","2","male",21,"S","1","1","0","0","Fit Adult"
"328","0","3","male",7.75,"S","0","1","0","0","Fit Adult"
"329","1","2","male",18.75,"S","0","2","0","1","Young Child"
"330","0","3","male",7.775,"S","0","1","0","0","Teenager"
"331","1","1","female",90,"Q","1","1","0","0","Fit Adult"
"332","1","3","male",7.925,"S","0","1","0","0","Fit Adult"
"333","1","2","female",32.5,"S","1","1","1","0","Fit Adult"
"334","1","2","female",13,"S","0","1","0","2","Child"
"335","0","2","male",13,"S","0","1","0","0","Teenager"
"336","0","3","female",24.15,"S","0","1","0","2","Adult"
"337","0","3","male",7.7333,"Q","0","1","0","0","Teenager"
"338","0","3","male",7.875,"S","0","1","0","0","Teenager"
"339","0","3","female",14.4,"S","1","1","1","0","Teenager"
"340","0","3","male",20.2125,"S","0","2","0","1","Child"
"341","1","2","female",26,"S","1","1","0","0","Teenager"
"342","1","2","female",26,"S","0","1","0","0","Teenager"
"343","1","3","male",8.05,"S","0","1","0","0","Fit Adult"
"344","1","1","male",26.55,"S","0","1","0","0","Teenager"
"345","1","2","female",26,"S","1","1","0","0","Fit Adult"
"346","0","3","male",7.125,"S","0","1","0","0","Child"
"347","0","1","male",55.9,"S","1","1","0","0","Fit Adult"
"348","1","1","female",120,"S","0","2","0","2","Child"
"349","0","3","female",34.375,"S","0","3","2","0","Teenager"
"350","1","2","female",18.75,"S","0","3","3","0","Teenager"
"351","0","1","male",263,"S","1","1","4","0","Elderly"
"352","0","2","male",10.5,"S","0","1","0","0","Fit Adult"
"353","1","2","female",26.25,"S","1","1","1","0","Fit Adult"
"354","0","3","male",9.5,"S","0","1","0","0","Teenager"
"355","0","3","male",7.775,"S","1","1","0","0","Teenager"
"356","1","2","female",13,"S","0","1","0","0","Teenager"
"357","1","1","male",81.8583,"S","0","1","0","2","Young Child"
"358","1","2","female",19.5,"S","0","1","0","1","Child"
"359","1","1","male",26.55,"S","0","1","0","0","Fit Adult"
"360","1","3","female",19.2583,"C","0","3","0","1","Young Child"
"361","1","1","male",30.5,"S","0","1","0","0","Fit Adult"
"362","0","2","male",27.75,"S","1","1","2","0","Fit Adult"
"363","0","1","male",27.75,"C","0","1","0","0","Teenager"
"364","1","1","male",89.1042,"C","1","1","0","0","Fit Adult"
"365","1","3","male",7.8958,"C","0","1","0","0","Teenager"
"366","0","1","male",26.55,"S","0","1","0","0","Elderly"
"367","1","2","female",10.5,"S","0","1","0","0","Fit Adult"
"368","1","1","male",26.55,"S","0","1","0","0","Fit Adult"
"369","0","3","male",8.05,"S","0","1","0","0","Fit Adult"
"370","0","1","male",38.5,"S","0","1","0","0","Fit Adult"
"371","0","2","male",13,"S","0","1","0","0","Fit Adult"
"372","0","3","male",7.05,"S","0","1","0","0","Fit Adult"
"373","0","1","male",26.55,"S","0","1","0","0","Fit Adult"
"374","1","3","female",19.2583,"C","0","3","0","1","Young Child"
"375","0","3","male",8.6625,"S","0","1","0","0","Fit Adult"
"376","1","2","female",27.75,"S","1","1","2","0","Fit Adult"
"377","1","2","female",13.7917,"C","0","1","0","0","Teenager"
"378","0","3","female",9.8375,"S","0","1","0","0","Teenager"
"379","0","2","male",21,"S","1","1","0","0","Fit Adult"
"380","0","3","male",7.0458,"S","1","1","0","0","Teenager"
"381","0","3","male",7.5208,"S","0","1","0","0","Teenager"
"382","1","3","female",12.2875,"S","0","1","0","1","Young Child"
"383","0","3","male",46.9,"S","0","6","0","2","Adult"
"384","0","3","male",8.05,"S","0","1","0","0","Fit Adult"
"385","1","3","female",9.5875,"S","0","1","0","0","Elderly"
"386","1","1","male",91.0792,"C","1","1","0","0","Teenager"
"387","1","1","female",90,"S","1","1","0","0","Fit Adult"
"388","0","1","male",29.7,"C","0","1","0","0","Fit Adult"
"389","0","3","male",8.05,"S","0","1","0","0","Teenager"
"390","1","3","male",15.9,"S","0","2","0","1","Adult"
"391","0","3","male",7.25,"S","0","1","0","0","Teenager"
"392","0","1","male",30.5,"S","0","1","0","0","Fit Adult"
"393","0","1","male",49.5042,"C","0","1","0","0","Elderly"
"394","0","3","male",8.05,"S","0","1","0","0","Teenager"
"395","1","1","female",78.2667,"C","1","1","0","0","Fit Adult"
"396","0","1","female",151.55,"S","1","1","2","0","Teenager"
"397","0","3","male",7.7958,"S","0","1","0","0","Teenager"
"398","0","3","male",8.6625,"S","0","1","0","0","Child"
"399","0","3","female",7.75,"Q","0","1","0","0","Teenager"
"400","0","3","female",9.5875,"S","0","1","0","0","Fit Adult"
"401","1","1","female",86.5,"S","0","1","0","0","Child"
"402","0","1","male",108.9,"C","0","2","0","0","Child"
"403","1","2","female",26,"S","0","1","2","0","Fit Adult"
"404","0","3","male",22.525,"S","0","1","0","0","Teenager"
"405","1","3","male",56.4958,"S","0","1","0","0","Teenager"
"406","1","3","male",7.75,"Q","0","1","0","0","Teenager"
"407","1","1","male",26.2875,"S","0","1","0","0","Fit Adult"
"408","1","1","female",59.4,"C","1","1","0","0","Fit Adult"
"409","0","3","male",7.4958,"S","0","1","0","0","Teenager"
"410","0","1","male",34.0208,"S","0","1","0","0","Fit Adult"
"411","1","2","female",10.5,"S","0","1","0","0","Fit Adult"
"412","1","2","female",26,"S","1","1","0","0","Fit Adult"
"413","0","3","male",7.8958,"S","0","1","0","0","Fit Adult"
"414","1","1","female",93.5,"S","0","1","0","0","Teenager"
"415","0","3","male",7.8958,"S","0","1","0","0","Teenager"
"416","1","1","female",57.9792,"C","0","1","1","0","Fit Adult"
"417","0","3","male",7.75,"Q","0","1","0","0","Fit Adult"
"418","1","2","female",10.5,"S","0","1","0","0","Fit Adult"
"419","0","3","male",7.925,"S","0","1","0","0","Fit Adult"
"420","0","2","male",11.5,"S","0","3","1","0","Teenager"
"421","1","2","female",26,"S","0","2","0","1","Young Child"
"422","0","3","male",7.2292,"C","0","2","0","1","Child"
"423","0","3","female",8.6625,"S","0","1","0","0","Teenager"
"424","1","2","female",26.25,"S","0","1","0","2","Adult"
"425","0","1","male",26.55,"S","0","1","0","0","Fit Adult"
"426","1","1","female",106.425,"C","0","1","0","0","Teenager"
"427","1","1","female",49.5,"C","0","1","2","0","Teenager"
"428","1","1","female",71,"S","0","1","2","0","Fit Adult"
"429","0","3","female",31.275,"S","0","5","0","2","Adult"
"430","0","3","female",31.275,"S","0","5","0","2","Adult"
"431","1","2","male",26,"S","1","1","0","0","Fit Adult"
"432","0","1","male",106.425,"C","1","1","0","0","Fit Adult"
"433","0","1","male",26,"S","0","1","0","0","Elderly"
"434","1","2","female",26,"S","0","2","0","0","Teenager"
"435","0","3","male",20.525,"S","1","1","1","0","Fit Adult"
"436","1","2","male",36.75,"S","0","2","0","1","Adult"
"437","1","1","male",110.8833,"C","0","1","0","2","Child"
"438","0","2","male",26,"S","0","1","0","0","Teenager"
"439","1","3","male",7.225,"C","0","1","0","0","Teenager"
"440","1","3","female",7.775,"S","0","1","0","0","Teenager"
"441","0","1","male",26.55,"S","0","1","0","0","Elderly"
"442","1","1","female",39.6,"C","1","1","0","0","Fit Adult"
"443","1","1","female",79.65,"S","1","1","1","0","Fit Adult"
"444","1","3","female",17.4,"S","1","1","0","0","Fit Adult"
"445","0","3","male",7.8958,"S","0","1","0","0","Fit Adult"
"446","0","2","male",13.5,"S","0","1","0","0","Teenager"
"447","0","3","male",24.15,"S","0","3","0","0","Teenager"
"448","0","3","male",7.8958,"S","0","1","0","0","Teenager"
"449","0","3","female",21.075,"S","0","1","4","0","Teenager"
"450","1","3","male",7.8542,"S","0","1","0","0","Fit Adult"
"451","1","2","male",10.5,"S","0","1","0","0","Elderly"
"452","1","1","female",51.4792,"S","0","3","0","0","Fit Adult"
"453","1","1","male",26.3875,"S","0","1","0","0","Fit Adult"
"454","0","3","male",8.05,"S","0","1","0","0","Child"
"455","0","3","male",14.5,"S","0","1","0","0","Teenager"
"456","1","2","female",13,"S","0","1","0","0","Fit Adult"
