"LotFrontage","MasVnrArea","BsmtUnfSF","LowQualFinSF","GrLivArea","BedroomAbvGr","KitchenAbvGr","Fireplaces","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","Age","SinceReMod","LogSalePrice","LogLotArea","BsmtBath","bath","ExtraRms","TotalBsmtFinsh","X2ndFlr"
57,0,637,0,1108,3,1,1,1,280,0,0,205,0,0,0,0,77,57,11.8451027773086,8.91583507417628,0,1,2,0,"0"
75,281,1777,0,1795,3,1,1,2,534,171,159,0,0,0,0,0,6,6,12.3458345879053,9.18420171436649,0,2,3,0,"0"
44,0,200,0,1060,3,1,1,2,572,100,110,0,0,0,0,0,31,31,11.7745202026587,8.3485378253861,1,1,2,840,"0"
110,640,1566,0,1600,3,1,1,3,890,0,56,0,0,0,0,0,2,2,12.4541039123522,9.5631076910839,0,2,3,0,"0"
60,0,180,0,900,3,1,0,2,576,222,32,0,0,0,0,0,59,10,11.8115474774603,8.88183630500415,0.5,1,1,720,"0"
98,200,486,0,1704,3,1,1,3,772,0,50,0,0,0,0,0,3,2,12.6313403809345,9.34818743866831,1,2,3,1218,"0"
47,0,207,0,1600,2,1,2,1,319,288,258,0,0,0,0,0,49,9,12.2428866186529,9.7002079011507,1,1,3,1277,"0"
60,0,520,0,520,1,1,0,1,240,49,0,87,0,0,0,0,81,58,11.1345890242503,8.75210719832936,0,1,2,0,"0"
50,0,649,0,1317,3,1,0,1,250,0,54,172,0,0,0,0,88,58,10.5966347330961,9.04782144247841,0,1,2,0,"1"
85,0,1234,0,1234,3,1,0,2,484,0,30,0,0,0,0,0,1,1,12.1001564199386,9.31009520511317,0,2,3,0,"0"
70,0,380,0,1700,4,1,1,2,447,0,38,0,0,0,0,0,51,51,12.0167264737993,9.26407069439715,0.5,1.5,1,1018,"0"
60,246,408,0,1561,2,1,1,2,556,203,47,0,0,0,0,0,2,2,12.5335762121686,8.89740886527095,1,2,3,1153,"0"
108,132,1117,0,2452,4,1,1,3,691,113,32,0,0,0,0,0,2,1,12.6410965558799,9.50435236812283,0,3.5,4,0,"1"
112,0,1097,0,1097,3,1,0,2,672,392,64,0,0,0,0,0,15,14,11.8844890214027,9.2927495082169,0,1.5,2,0,"0"
74,650,84,0,1297,3,1,1,2,498,0,0,0,0,0,0,0,55,19,11.9381932003746,9.05157907959124,0.5,1,1,1213,"0"
68,0,326,0,1057,3,1,0,1,246,0,52,0,0,0,0,0,57,3,11.5991031612113,8.97739897818186,1,1,1,731,"0"
65,0,0,0,1152,2,2,0,0,0,0,0,0,0,0,0,0,53,53,11.3144745262464,8.70615929092886,0,2,2,0,"0"
84,101,445,0,1324,3,1,1,2,440,0,138,0,0,0,0,0,41,41,11.982929094216,9.06623902800193,0,2,2,643,"0"
115,0,383,0,1328,2,1,2,1,308,0,104,0,0,0,0,0,48,48,12.0435537160324,9.73536471514199,0.5,1.5,2,967,"0"
70,0,465,0,1150,3,1,0,1,300,0,0,0,0,0,0,0,47,47,11.8565151693603,8.98029807897082,1,1,2,685,"0"
61,412,1296,0,1752,2,1,1,2,576,196,82,0,0,0,0,0,5,5,12.6757637259376,8.94350613203724,1,2,3,456,"0"
48,0,83,0,2149,1,1,1,2,670,168,43,0,0,198,0,0,6,6,12.3870850123755,9.4589177245472,1,1.5,4,1351,"1"
84,0,1632,0,1656,3,1,0,3,826,0,146,0,0,0,0,0,1,1,12.4280154762679,9.31433996199467,0,2,3,24,"0"
33,0,736,0,1452,2,3,0,0,0,0,0,102,0,0,0,0,89,1,11.6351430976945,8.40200678160712,0,2,3,0,"1"
66,0,192,0,955,3,1,0,1,386,0,0,0,0,0,0,0,41,41,11.7519423654407,8.95441533113759,1,1,2,763,"0"
52,0,816,360,1176,3,1,1,2,528,112,0,0,0,0,0,400,72,56,11.6483301019764,8.73873546136347,0,1,2,0,"0"
110,0,0,0,816,2,1,0,2,516,106,0,0,0,0,0,0,47,47,11.6082356447746,9.04452188728124,1,1,2,816,"0"
68,0,32,0,1842,0,1,1,3,894,857,72,0,0,0,0,0,25,19,12.8609986132699,10.8251836490688,2,0.5,4,1810,"0"
60,0,0,0,1360,3,1,1,2,572,0,50,0,0,0,0,0,52,52,11.7752897294377,8.87262736591884,0,1,2,384,"0"
100,272,935,0,1425,3,1,1,2,576,0,0,0,407,0,0,0,44,44,12.1034860567551,9.2276890103108,0,2,3,490,"0"
24,456,321,0,1739,3,1,0,2,480,115,0,0,0,0,0,0,10,9,12.0581525154536,7.8804263442924,1,2.5,3,649,"1"
89,0,860,0,1720,3,1,0,2,565,0,70,0,0,0,0,0,2,2,12.1884177102915,9.36263218231844,0,2.5,3,0,"1"
66,1031,1410,0,2945,3,1,1,3,641,192,0,37,0,0,0,0,0,0,12.9917534274931,9.52383637932094,0,3.5,6,0,"1"
60,0,148,0,780,2,1,0,1,352,196,0,0,0,0,0,0,36,36,11.7352686961137,8.88183630500415,0,1,1,632,"0"
63,0,217,0,1158,3,1,0,2,576,0,50,0,0,0,0,0,2,2,11.9703503120091,9.47822781709978,1,1.5,1,941,"0"
60,0,530,0,1111,3,1,0,1,288,0,0,144,0,0,0,0,87,11,11.5228757958234,8.88183630500415,0,1,2,0,"1"
44,178,1346,0,1370,2,1,1,2,484,120,49,0,0,0,0,0,1,1,12.2184951655287,8.77059432989114,0,2,3,24,"0"
50,0,576,0,1710,3,1,0,2,480,12,11,64,0,0,0,0,89,60,11.8493977015914,9.23989917421773,0,2,5,0,"1"
76,344,1143,0,2473,4,1,1,3,852,192,151,0,0,0,0,0,3,2,12.6666570528594,9.16858043772795,0,2.5,4,0,"1"
72,167,440,0,1479,3,1,0,2,558,144,29,0,0,0,0,0,4,4,12.3282902782544,9.27472263090545,1,2,3,1013,"0"
47,0,747,0,747,2,1,0,1,220,0,0,0,0,0,0,0,65,60,11.289781913656,8.43554920237573,0,1,1,0,"0"
81,0,701,0,2287,3,1,1,2,667,0,21,114,0,0,0,0,53,53,12.3238556811866,9.65457737458489,0,2,3,603,"1"
95,1115,343,0,2223,3,1,2,2,516,300,0,0,0,0,0,0,34,34,12.4049235042753,9.52156805800298,1,2,4,1880,"0"
69,0,280,0,845,2,1,0,2,360,0,0,0,0,0,0,0,25,1,11.7714361601217,8.93577193866978,1,1,1,565,"0"
74,40,832,0,1718,3,1,1,2,427,0,94,0,0,291,0,0,11,11,12.1281111040605,9.224341891612,0,2.5,3,0,"1"
85,104,404,0,1086,3,1,0,2,490,0,0,0,0,0,0,0,56,7,11.8837991283088,9.23014299927236,1,1,2,682,"0"
60,0,840,0,1605,3,2,0,1,379,0,0,202,0,0,0,0,95,60,11.5843154610569,8.66388757056704,0,2,3,0,"1"
21,0,0,0,988,2,1,0,1,297,120,101,0,0,0,0,0,36,36,11.418614785499,7.37525577800975,1,1,2,462,"1"
50,0,295,0,1285,2,1,0,1,240,0,0,0,0,0,0,0,60,7,11.7519423654407,9.06357899058078,1,1,3,377,"1"
72,0,1768,0,1768,4,2,0,0,0,0,0,0,0,0,0,0,42,42,11.8240798936072,9.28526229849344,0,2,2,0,"0"
60,0,440,0,1230,2,1,0,2,440,74,0,128,0,0,0,0,99,28,11.6082356447746,9.25339986143663,0,1.5,2,0,"1"
100,576,448,0,2142,4,1,1,1,509,0,72,0,0,252,0,0,41,41,12.173032791452,9.47270463644367,0,2.5,3,448,"1"
32,443,36,0,1337,2,1,0,2,405,0,199,0,0,0,0,0,8,8,11.9414558460094,8.41183267575841,1,2,2,1201,"0"
78,468,1530,0,1563,3,1,1,3,758,144,99,0,0,0,0,0,1,1,12.4090134895269,9.23073106162392,0,2,2,33,"0"
80,66,1065,0,1065,3,1,0,2,461,74,0,0,0,0,0,0,47,47,11.7479975871497,9.09290727508409,0,1.5,2,0,"0"
121,284,1288,0,2417,4,1,1,2,462,127,82,0,0,0,0,0,15,14,12.4684369099977,9.68402471906149,0,2.5,4,0,"1"
122,0,684,0,1560,3,1,1,2,400,100,38,0,0,0,0,0,4,4,12.0668105781967,9.3852176218809,0,2.5,2,0,"1"
40,76,612,0,1224,2,1,0,2,528,0,234,0,0,0,0,0,0,0,12.0106658491876,8.28172399041139,0,2.5,1,0,"1"
105,0,1013,513,1526,2,1,0,0,0,0,0,156,0,0,0,0,94,27,11.3504065354725,9.0442857876461,0,1,3,0,"0"
60,0,402,0,990,3,1,0,0,0,0,0,0,0,0,0,0,13,12,11.7248058240057,8.99590876126399,1,1,1,588,"0"
60,0,0,0,1040,2,1,0,2,420,0,29,0,0,0,0,0,56,56,11.6073261403917,8.88183630500415,0,1,1,0,"0"
85,203,635,0,1235,2,1,0,2,480,0,0,0,0,0,0,0,45,45,11.4988265405907,9.04782144247841,0,1,3,600,"0"
80,0,163,0,964,2,1,0,2,432,0,0,44,0,0,0,0,88,3,12.0045682693194,9.50002044709064,1,1,2,713,"0"
60,0,168,0,2291,4,2,1,2,506,0,0,0,0,99,0,0,97,9,11.8048485316793,8.88183630500415,0.5,2,3,1046,"1"
69,0,176,0,1786,3,1,0,2,684,0,162,0,0,0,0,0,10,10,12.2295450017153,9.14174028048393,1,2.5,3,648,"1"
78,183,426,0,1588,3,1,0,2,472,158,29,0,0,0,0,0,7,7,12.273731294004,9.23639790629547,0,2,2,1162,"0"
73,48,440,0,960,3,1,0,1,432,120,0,0,0,0,0,0,42,42,11.4589971229447,9.29844282019773,1,1,2,520,"0"
85,0,350,0,835,2,1,0,1,366,0,0,77,0,0,0,400,90,60,11.3265958867787,9.27096499379262,0,1,2,108,"0"
77,0,381,0,1225,3,1,0,0,0,352,0,0,0,0,0,400,51,51,11.7671800113095,9.13991790767964,1,1.5,2,569,"0"
77,336,741,0,1732,3,1,1,2,476,192,46,0,0,0,0,0,25,25,12.0895388292742,9.12761072437719,0,2.5,3,0,"1"
64,0,0,0,1535,4,2,0,2,410,0,0,0,0,0,0,0,30,30,11.6865762053166,8.85623355614316,0,2,2,0,"0"
94,0,1226,0,1226,3,1,0,3,740,0,36,0,0,0,0,0,1,1,12.2005574648421,9.24975337433302,0,2,2,0,"0"
75,768,1053,0,1992,3,1,1,2,648,140,45,0,0,0,0,0,5,4,12.4292161968444,9.14580185083861,0,2.5,5,0,"1"
60,0,641,0,1047,2,1,0,1,273,0,0,0,0,0,0,450,122,12,11.5129254649702,9.28730141311231,0,1,3,0,"0"
50,0,516,0,789,2,1,0,1,250,0,0,0,0,0,0,0,60,58,11.6526874073454,8.69951474821019,0,1,2,273,"0"
85,0,793,0,1517,3,1,0,0,0,0,0,144,0,0,0,0,88,2,11.6526874073454,9.04782144247841,0,2,3,0,"1"
105,480,1139,0,1844,3,1,1,2,546,0,122,0,0,0,0,0,33,33,12.1547793511426,9.37169362233394,0,2,3,705,"0"
75,0,550,0,1855,4,1,0,1,325,182,0,0,0,0,0,0,52,34,11.8270060112765,9.1616751999949,0,2,2,444,"1"
77,220,280,0,2696,4,1,1,3,792,120,184,0,0,168,0,0,0,0,12.8583197035179,9.20683423264689,1,2.5,5,984,"1"
61,0,104,0,2320,3,1,1,1,180,224,0,0,0,0,0,0,62,5,12.4665119815881,8.88999735728484,1,2.5,5,924,"1"
34,1129,310,0,1458,2,1,1,2,440,0,32,0,0,0,0,0,8,8,12.0782392740203,8.0802374162167,0,2.5,2,419,"1"
74,0,1125,0,1125,2,1,0,2,430,80,64,0,0,0,0,0,1,0,11.9511803959014,9.05204779298159,0,1.5,2,0,"0"
90,0,203,0,3222,5,1,2,3,594,367,0,0,0,0,0,0,20,20,12.6760762747759,9.4235143922529,1,3,5,1470,"1"
65,0,728,0,1456,3,1,1,2,390,0,24,0,0,0,0,0,1,0,12.0075607293375,9.0432226489245,0,2.5,4,0,"1"
50,0,732,0,1123,3,1,0,1,264,0,0,140,0,0,0,0,68,57,11.5129254649702,8.70946507906336,0,1,0,0,"1"
75,135,510,0,1080,3,1,0,1,288,0,0,0,0,130,0,0,50,50,11.8204101647182,9.15525040565822,0,1,1,570,"0"
55,0,899,0,1199,2,1,0,2,530,0,63,0,0,0,0,0,15,15,11.944058319827,8.97360486714251,0,2,2,300,"0"
48,0,1362,0,1586,3,1,1,2,435,192,0,0,0,0,0,0,30,11,12.106252310248,9.74349484122524,0,2,3,0,"0"
60,0,30,234,754,2,1,0,0,0,53,0,0,0,0,0,0,71,24,11.3445068133453,8.82173238093444,1,1,2,490,"0"
55,0,556,0,840,3,1,1,0,0,0,0,0,0,0,0,0,77,57,11.3736633976367,8.38662882139512,0,1,1,116,"0"
69,266,148,0,1348,3,1,1,2,453,188,108,0,0,0,0,0,40,40,11.9511803959014,8.93458687038968,0,1.5,2,512,"1"
69,85,413,0,1053,3,1,0,2,750,0,80,0,180,0,0,0,48,15,11.9183905730784,9.10197534729806,0.5,1.5,2,595,"0"
88,309,479,0,2157,4,1,2,2,487,105,66,0,0,0,0,0,40,40,12.3282902782544,9.56099724358935,0,2.5,3,445,"1"
75,0,658,0,1327,3,1,0,2,624,0,0,0,0,0,0,0,48,5,11.9233781145894,8.90761234131913,1,1,3,405,"0"
78,0,891,0,1721,3,1,1,2,440,0,96,180,0,0,0,0,38,13,12.1007121298723,9.24329147211587,0,2.5,3,570,"0"
80,288,1304,0,1682,3,1,1,2,530,98,0,0,0,0,0,0,38,38,12.0668105781967,9.24956108512946,0,2,3,0,"0"
82,70,1907,0,1959,5,2,0,3,766,0,0,0,0,0,0,0,18,17,12.0494188354848,9.31199402570268,0,3,2,0,"0"
73,320,336,0,1852,3,1,2,3,660,224,106,0,0,0,0,0,9,8,12.3458345879053,9.1122864315008,0,2.5,3,668,"1"
65,0,107,0,1764,3,1,0,2,470,276,99,0,0,0,0,0,12,12,12.3523351525084,9.64380967649394,1,2.5,3,821,"1"
70,0,432,0,864,3,1,1,0,0,0,0,0,0,0,0,0,39,39,11.6526874073454,9.25913053614561,0,1,1,432,"0"
78,0,434,0,1734,3,1,0,2,660,160,24,0,0,0,0,0,1,1,12.4684369099977,9.36263218231844,1,2,3,1300,"0"
71,0,403,0,1385,4,1,0,2,720,0,0,0,0,0,0,0,58,58,12.0197430673387,9.05017161982336,0,2,1,507,"1"
78,183,811,0,1501,3,1,0,2,577,144,29,0,0,0,0,0,10,10,12.2258752728264,9.24329147211587,1,2,2,679,"0"
70,336,396,0,1728,6,2,0,2,504,0,0,0,0,0,0,0,43,43,11.7360690162844,9.11602969250494,1,2,2,1332,"0"
24,50,970,0,1709,3,1,0,2,380,0,40,0,0,0,0,0,2,0,11.7752897294377,7.83280751652486,0,2,3,0,"1"
51,0,506,0,875,2,1,0,1,180,48,0,0,0,0,0,0,78,16,11.5617156291397,8.71931737550637,1,1,2,209,"0"
63,120,400,0,1080,3,1,0,0,0,0,0,0,0,0,0,0,4,3,11.8565151693603,8.9226582995244,1,1,2,680,"0"
120,0,253,0,969,3,1,0,2,440,0,0,0,0,0,0,0,32,32,11.7117763237154,9.24532134087143,0,1.5,1,716,"0"
107,436,310,0,1710,2,1,1,3,866,0,102,0,0,0,0,0,1,0,12.8277291949399,9.53899642739739,1,2,3,1400,"0"
84,0,1200,0,1200,4,1,0,1,312,0,0,228,0,0,0,0,83,56,11.7360690162844,9.33609157728174,0,1,2,0,"0"
60,0,572,0,1096,2,1,0,0,0,0,8,128,0,0,0,0,84,58,11.2772031314492,9.16951837745593,0,1,2,0,"1"
60,0,0,0,1040,2,1,0,2,625,0,0,0,0,0,0,0,56,56,11.6036798282387,8.88183630500415,0,1,2,0,"0"
92,84,774,0,1968,4,1,1,3,680,0,75,0,0,0,0,0,1,0,12.5043236693312,9.39291189752534,0,2.5,3,0,"1"
100,0,769,0,1947,3,1,1,2,678,0,136,0,0,0,0,0,6,5,12.4486265903642,9.43763529441287,0,2.5,4,222,"1"
134,456,1335,0,2462,4,1,1,2,576,239,132,0,168,0,0,0,1,0,12.6760762747759,9.87189368094495,1,2.5,4,57,"1"
110,664,556,0,2668,3,1,2,3,726,400,0,0,0,0,0,0,5,4,12.9299914847569,9.52427481557203,1,2.5,6,1016,"1"
95,226,340,0,1541,3,1,1,2,532,0,70,0,0,0,0,0,5,5,12.3013828253345,9.40771473139643,0,2,3,1201,"0"
55,0,882,0,882,1,1,0,0,0,0,0,0,0,0,0,0,51,51,11.5444241320296,8.61250337122056,0,1,2,0,"0"
40,0,779,0,1616,3,1,0,1,216,0,0,183,0,0,0,0,81,3,11.9316357998284,8.59415423255237,0,2,1,370,"1"
62,0,112,0,1355,4,2,0,0,0,140,0,0,0,0,0,0,68,9,11.7558716435806,9.22088458585185,1,2,0,532,"1"
86,300,294,0,2161,3,1,1,3,789,178,120,0,0,0,0,0,0,0,12.6934986204678,9.26501793326688,1,1.5,4,1288,"1"
62,0,840,0,1720,3,1,1,2,440,100,48,0,0,0,0,0,3,3,12.1199699464768,9.01724094201035,0,2.5,3,0,"1"
141,112,441,0,1656,3,1,2,2,528,210,62,0,0,0,0,0,50,50,12.2783933071098,10.3662777272636,1,1,3,639,"0"
44,0,354,0,1767,2,1,1,2,504,441,35,0,0,0,0,0,19,19,12.3842188309136,8.57659353469768,1,2,2,710,"1"
80,491,700,0,1362,3,1,1,2,504,0,20,0,0,0,0,0,47,47,12.0015054797889,9.22984883836423,1,1.5,2,662,"0"
47,132,0,0,1651,3,1,1,2,616,192,0,0,0,0,0,0,22,22,12.1226910365911,9.426741242423,1,2,3,1606,"0"
84,0,725,0,2158,4,1,1,2,576,0,29,39,0,0,0,0,57,6,12.4008167223227,9.44264186107516,1,2,2,477,"0"
97,268,320,0,2060,4,1,1,2,521,0,228,0,0,192,0,0,19,18,12.2596134124582,9.21323617508821,0.5,2.5,3,831,"1"
63,748,312,0,2234,1,1,1,3,1166,0,60,0,0,0,0,0,1,0,13.1260306447518,9.7655464514229,1,2,7,1904,"0"
60,0,968,0,968,2,1,0,2,480,0,0,184,0,0,0,0,84,1,11.5129254649702,9.05017161982336,0,1,2,0,"0"
54,0,441,0,1802,4,1,1,1,216,0,0,40,0,0,0,0,86,56,12.2065725205718,8.93432333105491,0,1.5,4,352,"1"
60,98,0,0,1340,3,1,1,1,252,116,0,0,180,0,0,0,50,1,11.6952470217642,9.11162439903702,0,1,3,0,"0"
63,0,1362,0,2082,3,1,0,2,484,280,238,0,0,0,0,0,5,5,12.2060726455302,9.34364673928441,0,2.5,2,0,"1"
92,0,504,0,1252,3,1,0,2,576,104,0,0,0,0,0,0,98,15,11.7519423654407,8.91435727448502,0,1,1,0,"1"
90,0,1107,572,3608,4,1,2,3,840,0,260,0,0,410,0,0,114,13,13.0710700830168,10.0410732154887,0,2.5,7,0,"1"
60,0,660,144,1656,3,1,0,1,180,0,0,0,140,0,0,0,93,22,11.8130300574206,9.25052216160901,0,2.5,4,0,"1"
64,275,0,0,1224,2,2,2,2,528,120,0,0,0,0,0,0,30,30,11.9403933925547,8.85623355614316,2,1,2,1086,"0"
41,0,440,0,1593,0,1,1,2,682,0,120,0,0,224,0,0,7,6,12.563747089802,8.5016733797582,1,1.5,4,1153,"0"
70,0,556,0,2727,3,1,2,2,440,0,74,0,0,0,0,0,75,13,12.6603279178078,9.26577507886428,0,2.5,6,297,"1"
68,0,871,0,1431,3,1,0,2,666,0,35,0,0,0,0,0,10,10,12.1652506510099,9.10686696349991,1,2,2,560,"0"
24,50,970,0,1709,3,1,0,2,380,0,40,0,0,0,0,0,2,2,11.7752897294377,7.83280751652486,0,2,3,0,"1"
60,0,474,0,864,3,1,0,1,352,0,0,0,0,0,0,0,36,36,11.7519423654407,8.87905466204227,0,1,1,390,"0"
24,0,289,0,1456,3,1,1,2,440,87,0,0,0,0,0,0,33,33,11.9083402372249,7.73193072194849,0,2.5,3,566,"1"
79,205,600,0,1726,3,1,1,3,786,171,138,0,0,266,0,0,0,0,12.6503481262032,9.15016564894011,1,2,4,1126,"0"
174,0,140,392,3112,4,1,1,2,795,0,16,552,0,0,512,0,88,16,12.3673407931263,10.1432522048666,1.5,2,3,1220,"1"
92,0,755,371,2229,5,1,0,0,0,0,198,30,0,0,0,0,97,59,11.5521461781235,8.61613313927114,0,1,2,0,"1"
76,262,625,0,1713,3,1,1,3,856,0,26,0,0,170,0,0,5,4,12.5241626741533,9.16858043772795,1,2,3,1088,"0"
80,0,1121,0,1121,2,1,0,2,440,132,64,0,0,0,0,0,7,6,11.8493977015914,9.05321861620397,0,2,2,0,"0"
75,0,276,0,1279,3,1,2,2,473,238,83,0,0,0,0,0,31,31,12.0523385455881,9.22276289197474,0.5,2,2,920,"0"
50,0,0,0,1310,2,1,0,1,398,0,0,126,0,0,0,0,82,56,11.6262541502772,8.85366542803745,0,2,3,617,"1"
50,0,408,0,1284,2,1,0,1,240,0,35,0,0,0,0,0,62,59,11.6082356447746,8.1605182474775,0,1.5,2,312,"1"
99,0,1424,0,1442,3,1,0,2,500,0,34,0,508,0,0,0,19,19,12.1034860567551,9.38016753118845,0,2,1,0,"0"
40,0,1140,0,1696,3,1,1,1,349,0,30,0,0,0,0,0,45,45,11.8768738928755,9.52317836430908,0,1.5,4,0,"0"
75,260,305,0,1092,3,1,0,2,504,0,0,0,0,0,0,0,44,44,11.8844890214027,9.01796847932873,1,1,2,787,"0"
67,0,396,0,864,2,1,0,0,0,0,0,96,0,0,0,0,83,58,11.4927227576527,8.6312359074569,1,1,2,468,"0"
83,0,1176,0,1212,3,1,0,2,460,100,22,0,0,0,0,0,1,1,12.1335019526953,9.25148231530736,0,2,2,36,"0"
72,0,78,0,1852,3,1,1,2,644,168,108,0,0,0,0,0,0,0,12.4398712298317,9.0641578617981,1,2.5,3,822,"1"
43,0,274,0,990,3,1,0,2,576,224,0,0,0,0,0,0,11,11,11.9576112862317,9.51546935803168,0.5,1,1,716,"0"
72,64,710,0,1236,2,1,1,1,447,0,0,0,0,0,0,0,49,10,11.808947661697,9.21143976741948,0.5,1,3,360,"0"
65,266,490,0,1436,3,1,0,2,484,139,98,0,0,0,0,0,4,4,12.2548628096996,9.04192172035122,1,2,4,946,"0"
57,0,686,0,1328,3,1,0,1,210,0,172,60,0,0,0,0,81,56,11.580584113444,9.20089591314818,0,1,4,0,"1"
43,16,1232,0,1248,2,1,0,2,438,108,0,0,0,0,0,0,1,0,12.0271851854705,8.00969535774292,0,2,2,16,"0"
73,0,1498,0,1498,2,1,0,2,675,351,33,0,0,0,0,0,0,0,12.230277334227,9.10386812746567,0,2,2,0,"0"
85,0,163,0,1552,3,1,1,2,434,209,208,0,0,0,0,0,31,31,12.1001564199386,9.34792603492875,1,2.5,2,550,"1"
70,0,160,0,864,2,1,0,2,576,216,0,0,0,0,0,0,38,38,11.4824662574855,9.25913053614561,0,1,1,704,"0"
103,922,2336,0,2392,3,1,1,3,968,248,105,0,0,0,0,0,6,6,12.8642401071941,9.50836873648211,0,2,4,56,"0"
21,142,630,0,1302,3,1,0,1,280,0,0,0,0,0,0,0,38,38,11.6262541502772,7.4265490723973,0,2.5,2,0,"1"
82,290,638,0,2520,4,1,1,3,721,224,114,0,0,0,0,0,12,12,12.5776362019627,9.20532783015264,0,2.5,4,565,"1"
21,127,162,0,987,2,1,0,1,280,0,0,0,0,0,0,0,38,38,11.5711943730942,7.53315880745556,0,1.5,2,321,"1"
70,0,70,0,912,3,1,1,1,336,0,0,0,0,0,0,0,43,43,11.7360690162844,9.05028898382796,0,1,1,842,"0"
43,16,1357,0,1555,2,1,1,2,430,143,20,0,0,0,0,0,4,3,12.16785143271,8.06526520889773,0,2,4,16,"0"
73,220,1194,0,1194,3,1,0,1,312,0,0,120,0,0,0,0,51,51,11.9049675527463,9.07795118393044,1,1,2,0,"0"
174,506,773,0,2794,4,1,1,3,810,0,146,202,0,0,0,0,14,13,12.9066918409288,9.62496341786911,1,2.5,4,689,"1"
21,297,483,0,987,2,1,1,1,288,0,0,0,0,0,0,0,34,34,11.4563551134818,7.4265490723973,0,1.5,2,0,"1"
75,0,0,0,894,3,1,0,1,308,365,0,0,0,0,0,0,34,34,11.7613468234687,9.27331517113757,1,1,1,894,"0"
21,604,125,0,987,2,1,0,1,264,0,0,0,0,0,0,0,37,37,11.4019939042629,7.4265490723973,0,1.5,2,358,"1"
65,98,1390,0,1414,3,1,0,2,494,132,105,0,0,0,0,0,6,6,12.1308101610296,9.07943410212838,0,2,2,24,"0"
93,254,1694,0,1694,3,1,0,3,818,168,228,0,0,0,0,0,0,0,12.6698066617623,9.39515880896873,0,2,3,0,"0"
52,0,641,0,1487,3,1,1,1,220,0,140,0,0,0,0,0,65,60,11.6351430976945,9.07577987858049,0,1.5,3,94,"1"
75,36,488,0,1566,3,1,0,2,750,144,168,0,0,0,0,0,2,2,12.4780063610138,9.10497985631836,1,2,3,1078,"0"
40,0,357,0,866,2,1,0,0,0,58,42,0,0,0,0,0,62,10,11.6127707999399,8.26359043261732,0,1,1,329,"0"
63,0,540,0,1440,3,1,0,1,352,0,0,77,0,0,0,0,106,56,11.2772031314492,8.51719319141624,0,1,2,0,"1"
75,0,626,0,1217,3,1,1,1,288,0,28,0,0,0,0,0,29,29,11.6952470217642,9.28377669004936,0,1.5,2,0,"1"
